timestamp,client,command,args
"18:48:23.747","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:24.122","[0 103.187.94.140:45232]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlAcm9ja3kiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDgzMTAsICJjbG9jayI6IDI1MDYsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuNTQsIDAuNTgsIDAuNTFdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMwMy44NTE5MTA4LCAidHlwZSI6ICJ3b3JrZXItaGVhcnRiZWF0In0=\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@rocky\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""448912f0-ca06-45ab-ae06-e187451cc4cb\""}}"""
"18:48:24.412","[0 54.38.154.45:58838]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:24.825","[0 103.187.94.136:47526]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:25.053","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:25.443","[0 54.38.154.45:58878]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlAZWQwMjYxNGQiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDUsICJjbG9jayI6IDI1MDgsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuMCwgMC4wLCAwLjBdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMwNS4xODE0OTczLCAidHlwZSI6ICJ3b3JrZXItaGVhcnRiZWF0In0=\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@ed02614d\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""9f2d02d1-9637-4e64-85a3-37d5b1156d89\""}}"""
"18:48:25.720","[0 54.38.154.45:58838]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:25.985","[0 54.38.154.44:38324]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlANjY4YzQ3YTYiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDUsICJjbG9jayI6IDI1MTAsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuMDcsIDAuMDMsIDAuMDFdLCAic3dfaWRlbnQiOiAicHktY2VsZXJ5IiwgInN3X3ZlciI6ICI1LjYuMiIsICJzd19zeXMiOiAiTGludXgiLCAidGltZXN0YW1wIjogMTc3MDY0MTMwNS43MjQ3ODk2LCAidHlwZSI6ICJ3b3JrZXItaGVhcnRiZWF0In0=\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@668c47a6\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""ea75ae13-153f-4a07-9546-3dcbb27beb8f\""}}"""
"18:48:26.456","[0 103.187.94.140:45232]","PUBLISH","""/0.celeryev/worker.heartbeat"" ""{\""body\"": \""eyJob3N0bmFtZSI6ICJjZWxlcnlAcm9ja3kiLCAidXRjb2Zmc2V0IjogMCwgInBpZCI6IDgzMTAsICJjbG9jayI6IDI1MTIsICJmcmVxIjogMi4wLCAiYWN0aXZlIjogMCwgInByb2Nlc3NlZCI6IDAsICJsb2FkYXZnIjogWzAuNSwgMC41NywgMC41MV0sICJzd19pZGVudCI6ICJweS1jZWxlcnkiLCAic3dfdmVyIjogIjUuNi4yIiwgInN3X3N5cyI6ICJMaW51eCIsICJ0aW1lc3RhbXAiOiAxNzcwNjQxMzA2LjE3NTAwMywgInR5cGUiOiAid29ya2VyLWhlYXJ0YmVhdCJ9\"", \""content-encoding\"": \""utf-8\"", \""content-type\"": \""application/json\"", \""headers\"": {\""hostname\"": \""celery@rocky\""}, \""properties\"": {\""delivery_mode\"": 1, \""delivery_info\"": {\""exchange\"": \""celeryev\"", \""routing_key\"": \""worker.heartbeat\""}, \""priority\"": 0, \""body_encoding\"": \""base64\"", \""delivery_tag\"": \""0e24b785-f018-428f-985b-54efcd29d3d5\""}}"""
"18:48:26.359","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:26.369","[0 103.187.94.136:47526]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:26.609","[0 103.187.94.137:50904]","PING","""redis-py-health-check"""
"18:48:26.720","[0 103.187.94.137:50904]","PING","""redis-py-health-check"""
"18:48:27.013","[0 54.38.154.45:41630]","UNSUBSCRIBE","""/0.celeryev/worker.*"""
"18:48:27.027","[0 54.38.154.45:58838]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
"18:48:27.402","[0 54.38.154.45:58464]","AUTH","""(redacted)"" ""(redacted)"""
"18:48:27.665","[0 54.38.154.44:38296]","BRPOP","""celery"" ""celery\x06\x163"" ""celery\x06\x166"" ""celery\x06\x169"" ""1"""
